DATE,ATNHPIUS11180Q
1987-10-01,65.51
1988-01-01,67.32
1988-04-01,70.16
1988-07-01,70.10
1988-10-01,70.07
1989-01-01,71.71
1989-04-01,69.43
1989-07-01,72.73
1989-10-01,72.66
1990-01-01,74.09
1990-04-01,75.34
1990-07-01,76.84
1990-10-01,76.79
1991-01-01,79.35
1991-04-01,78.09
1991-07-01,80.45
1991-10-01,82.46
1992-01-01,83.36
1992-04-01,83.86
1992-07-01,86.19
1992-10-01,85.59
1993-01-01,88.18
1993-04-01,88.88
1993-07-01,91.40
1993-10-01,92.09
1994-01-01,93.09
1994-04-01,96.62
1994-07-01,96.34
1994-10-01,98.58
1995-01-01,100.00
1995-04-01,99.61
1995-07-01,104.01
1995-10-01,103.75
1996-01-01,103.55
1996-04-01,106.50
1996-07-01,105.91
1996-10-01,106.03
1997-01-01,108.72
1997-04-01,110.29
1997-07-01,112.12
1997-10-01,113.57
1998-01-01,113.73
1998-04-01,113.88
1998-07-01,117.40
1998-10-01,117.91
1999-01-01,118.78
1999-04-01,121.08
1999-07-01,121.67
1999-10-01,121.17
2000-01-01,122.93
2000-04-01,125.13
2000-07-01,126.59
2000-10-01,127.38
2001-01-01,128.94
2001-04-01,130.84
2001-07-01,132.32
2001-10-01,133.02
2002-01-01,134.14
2002-04-01,134.10
2002-07-01,136.43
2002-10-01,136.88
2003-01-01,137.99
2003-04-01,138.18
2003-07-01,140.53
2003-10-01,143.42
2004-01-01,143.72
2004-04-01,146.28
2004-07-01,148.37
2004-10-01,147.75
2005-01-01,147.91
2005-04-01,150.77
2005-07-01,153.78
2005-10-01,154.18
2006-01-01,153.92
2006-04-01,155.73
2006-07-01,153.33
2006-10-01,154.75
2007-01-01,154.86
2007-04-01,157.73
2007-07-01,157.19
2007-10-01,157.89
2008-01-01,160.02
2008-04-01,157.77
2008-07-01,156.30
2008-10-01,156.76
2009-01-01,159.33
2009-04-01,157.86
2009-07-01,156.42
2009-10-01,157.69
2010-01-01,153.39
2010-04-01,157.33
2010-07-01,157.55
2010-10-01,158.10
2011-01-01,153.77
2011-04-01,153.39
2011-07-01,156.79
2011-10-01,156.84
2012-01-01,156.45
2012-04-01,155.88
2012-07-01,157.31
2012-10-01,157.35
2013-01-01,159.34
2013-04-01,160.64
2013-07-01,163.00
2013-10-01,167.27
2014-01-01,164.12
2014-04-01,167.49
2014-07-01,171.68
2014-10-01,172.65
2015-01-01,170.43
2015-04-01,175.64
2015-07-01,176.61
2015-10-01,179.73
2016-01-01,180.35
2016-04-01,185.63
2016-07-01,183.64
2016-10-01,185.34
2017-01-01,184.66
2017-04-01,195.82
